cve,Patch_Commit,Miss,Alias,Request,Confirmation,Valid
CVE-2022-21669,https://github.com/PuddingBot/pudding-bot/commit/a5b15fb0a5be5fdbacba8ff7b2c8759d5e3ba20f,V,,V,V,V
CVE-2021-45099,htts://github.com/hassio-addons/addon-ssh/pull/350/commits/b2c8a725c174bb7a32d94621b0a93e5a36977860,V,,,,V
CVE-2021-27431,https://github.com/ARM-software/CMSIS_5/commit/40e936e6751947ada02068284d3ee98873663510,V,,,,V
CVE-2021-27417,https://github.com/GoogleCloudPlatform/iot-device-sdk-embedded-c/pull/119/commits/de759f477e60da5a53a147188167c821c479a1d6,V,1,,,V
CVE-2021-27417,https://github.com/ARMmbed/mbed-os/commit/52eedfd86ec5147443dc4c9b0f0d75498a85c148,V,backport,,,V
CVE-2021-27417,https://github.com/GoogleCloudPlatform/iot-device-sdk-embedded-c/commit/96018ab742975e1a4fc45857bb16140e52297041,V,same to 1,,,V
CVE-2021-27417,https://github.com/ARMmbed/mbed-os/pull/14408/commits/151ebfcfc9f2383ee11ce3c771c3bf92900d6b43,V,same to 1,,,V
CVE-2021-27417,https://github.com/GoogleCloudPlatform/iot-device-sdk-embedded-c/pull/119/commits/30f05a800913f9efe970eb964e3cea301d77eafc,V,same to 1,,,V
CVE-2021-27417,https://github.com/GoogleCloudPlatform/iot-device-sdk-embedded-c/pull/119/commits/46cccccb7bf94d935890a177f6160ede91780ef3,V,same to 1,,,V
CVE-2020-16209,https://github.com/FieldCommGroup/hipserver/commit/6ec7d911b550c1cdb7b60718de38647081ff4e25,V,,,,V
CVE-2020-15957,https://github.com/DP-3T/dp3t-sdk-backend/commit/e967592bf131442b9d9916aefac2f4e42eaddd32,X,"wrong website, not for patch commits",,,V
CVE-2020-15957,https://github.com/DP-3T/dp3t-sdk-backend/commit/b8c6476303097b195f084587d0854997146c79f4,X,"wrong website, not for patch commits",,,V(hot fix)
CVE-2020-15885,https://github.com/munkireport/comment/commit/2fbe7ddbf44193b1990a9e6b6390204102a8d3e8,V,,,,V
CVE-2020-15883,https://github.com/munkireport/managedinstalls/commit/708f6a2abc4b80a3751bcc9cf896f80d84250c55,V,,,,V
CVE-2020-15391,https://github.com/loft-sh/devspace/commit/ae29e4527913c2ac8902e12c8d0f13568173251e,N,"wrong website, not for patch commits",,,V
CVE-2020-15391,https://github.com/loft-sh/devspace/pull/2240/commits/cedda032b321e5d7f9039b6671275ee63c9c61ef,N,"wrong website, not for patch commits",,,V
CVE-2020-15391,https://github.com/loft-sh/devspace/commit/685e7bcfc0593266469d05de126f468ddfb0bdc7,N,"wrong website, not for patch commits",,,V
CVE-2020-15391,https://github.com/loft-sh/devspace/pull/2253/commits/79b7cc542a4047f64d4436b28e13acf5ee4b604c,N,"wrong website, not for patch commits",,,V
CVE-2020-15167,https://github.com/abcheek/Miller/commit/49576c88e0334198cf4a15202451b5b1d6f1d359,Y,,,,V
CVE-2020-13700,https://github.com/airesvsg/acf-to-rest-api/commit/9e05b7647b5b96b1336f88f90aaaa52529f060e6,Y,,,,V
CVE-2020-13132,https://github.com/Yubico/yubico-piv-tool/commit/ce76c1b25482d393744e817af72c3143c346027b,Y,,,,V
CVE-2018-7747,https://github.com/CalderaWP/Caldera-Forms/commit/38db2e35332c4cc3d611a31aab33ff43ef87bb2f,Y,,,,V
CVE-2018-7747,https://github.com/CalderaWP/Caldera-Forms/commit/4967ec548f2dec011df9e3020054374a28cad854,Y,,,,V
CVE-2018-7747,https://github.com/CalderaWP/Caldera-Forms/commit/c10a506f3bf6322cc31bb5ff2d00f0d520c6a428,Y,,,,V
CVE-2018-7340,https://github.com/Wizkunde/SAMLBase/commit/482cdf8c090e0f1179073034ebcb609ac7c3f5b3,Y,,,,V
CVE-2018-5410,https://github.com/dokan-dev/dokany/commit/4954cc0a3299b20274ac64bf52d6c285a1f40b0f,X（wrong on NVD）,,,,V
CVE-2008-3904,https://github.com/lxde/gpicview/commit/ff032ffeb02e46db3307eebd2b64d16a51df6868,V,,,,V
CVE-2011-1934,http://git.videolan.org/?p=ffmpeg.git;a=commit;h=89f903b3d5ec38c9c5d90fba7e626fa0eda61a32,V,not github,,,V
CVE-2018-14847,https://github.com/BasuCert/WinboxPoC/commit/ea3da56f6098390e79568dfbc5b34a479c8a582a,V,,,,V
CVE-2018-14847,https://github.com/BasuCert/WinboxPoC/commit/9e25ed75e83d1f621c9e7e1a514a9cf39fa6f762,V,,,,V
CVE-2018-14847,https://github.com/BasuCert/WinboxPoC/commit/c1bae861f1b0f8da7c8517c07c38a05a37317886,V,,,,V
CVE-2018-14847,https://github.com/BasuCert/WinboxPoC/commit/d4816e024115beb2adff2018c8919c84b4476f2e,V,,,,V?
CVE-2008-0595,https://github.com/mydatakeeper/dbus/commit/6db561dce296b4c233b9fe9b117012249a99df08,X (wrong on NVD),,,,V
CVE-2008-0595,https://github.com/mydatakeeper/dbus/commit/f8eeb881ffd4c84af53d6360ee689f21b0b10597,X (wrong on NVD),,,,V
CVE-2008-1897,https://github.com/xrg/asterisk-xrg/commit/51714a24347dc57f9a208a4a8af84115ef407b83,V,,,,V
CVE-2008-1897,https://github.com/jcollie/asterisk/commit/a8b180875b037b8da26f6a3bcc8e5e98b8c904d2,V,,,,V
CVE-2008-1897,https://github.com/xrg/asterisk-xrg/commit/10da3dab24e8ca08cf2c983f8d0206e383535b5a,V,,,,V
CVE-2008-1897,https://github.com/jcollie/asterisk/commit/771b3d8749b34b6eea4e03a2e514380da9582f90,V,,,,V
CVE-2008-1897,https://github.com/pruiz/asterisk/commit/e0ef9bd22810c6969a7f222eec04798f19a7e2d6,V,,,,V
CVE-2008-1897,https://github.com/jcollie/asterisk/commit/60de4fbbdf3ede49f158e23a9e3b679f2e519c1e,V,,,,V
CVE-2008-1897,https://github.com/mojolingo/asterisk/commit/20ac3662f137dbf7f42d5295590069a7d3b1166b,V,,,,V
CVE-2008-1897,https://github.com/silentindark/asterisk-1/commit/fe8b7f31db687f8b9992864b82c93d22833019c7,V,,,,V
CVE-2008-1897,https://github.com/kaoru6/asterisk/commit/1fe14f38dd43dc894d21f85762b51208ba5c8acb,V,,,,V
CVE-2008-1897,https://github.com/lyx2014/Asterisk/commit/0670e43c30135044e25cca7f80e1833e2c128653,V,,,,V
CVE-2007-6456,https://github.com/neooffice/NeoOffice/commit/cc01c09c60e2c734c6bc3afdcf5f3447f9eaa0ce,X (wrong on NVD),,,,V
CVE-2006-0224,https://github.com/mej/libast/commit/cfbaa60097d20666121258b1213633e56bc9de34,X (wrong on NVD),,,,V
CVE-2022-38545,https://github.com/xCss/Valine/commit/c40826c5816c98d797a6b1ed8b62bddf73ed4f65,X,,,,V
